"Var1" "Var2" "Var3" "value"
"1" 1 1 "tBodyAcc-mean()-X" 0.22159824394
"2" 2 1 "tBodyAcc-mean()-X" 0.281373403958333
"3" 3 1 "tBodyAcc-mean()-X" 0.275516852741935
"4" 4 1 "tBodyAcc-mean()-X" 0.263559214981481
"5" 5 1 "tBodyAcc-mean()-X" 0.278334325576923
"6" 6 1 "tBodyAcc-mean()-X" 0.248656520140351
"7" 7 1 "tBodyAcc-mean()-X" 0.250176694038462
"8" 8 1 "tBodyAcc-mean()-X" 0.261254282907407
"9" 9 1 "tBodyAcc-mean()-X" 0.2591955368
"10" 10 1 "tBodyAcc-mean()-X" 0.280230574137931
"11" 11 1 "tBodyAcc-mean()-X" 0.280592970877193
"12" 12 1 "tBodyAcc-mean()-X" 0.260113433
"13" 13 1 "tBodyAcc-mean()-X" 0.276716360483871
"14" 14 1 "tBodyAcc-mean()-X" 0.233275439803922
"15" 15 1 "tBodyAcc-mean()-X" 0.2894756525
"16" 16 1 "tBodyAcc-mean()-X" 0.274227162571429
"17" 17 1 "tBodyAcc-mean()-X" 0.269780085577465
"18" 18 1 "tBodyAcc-mean()-X" 0.274691576923077
"19" 19 1 "tBodyAcc-mean()-X" 0.272653733493976
"20" 20 1 "tBodyAcc-mean()-X" 0.239507882205882
"21" 21 1 "tBodyAcc-mean()-X" 0.271325472455556
"22" 22 1 "tBodyAcc-mean()-X" 0.279959721194444
"23" 23 1 "tBodyAcc-mean()-X" 0.274038007986111
"24" 24 1 "tBodyAcc-mean()-X" 0.272850494930556
"25" 25 1 "tBodyAcc-mean()-X" 0.250791828613699
"26" 26 1 "tBodyAcc-mean()-X" 0.271645864540789
"27" 27 1 "tBodyAcc-mean()-X" 0.274102492432432
"28" 28 1 "tBodyAcc-mean()-X" 0.2759134825
"29" 29 1 "tBodyAcc-mean()-X" 0.287295196811594
"30" 30 1 "tBodyAcc-mean()-X" 0.281033900571429
"31" 1 2 "tBodyAcc-mean()-X" 0.261237565425532
"32" 2 2 "tBodyAcc-mean()-X" 0.27708735173913
"33" 3 2 "tBodyAcc-mean()-X" 0.257197599134615
"34" 4 2 "tBodyAcc-mean()-X" 0.27153827992
"35" 5 2 "tBodyAcc-mean()-X" 0.273694139545455
"36" 6 2 "tBodyAcc-mean()-X" 0.276778487454545
"37" 7 2 "tBodyAcc-mean()-X" 0.284674637291667
"38" 8 2 "tBodyAcc-mean()-X" 0.267491472934783
"39" 9 2 "tBodyAcc-mean()-X" 0.24832674354
"40" 10 2 "tBodyAcc-mean()-X" 0.270612056481481
"41" 11 2 "tBodyAcc-mean()-X" 0.276590197358491
"42" 12 2 "tBodyAcc-mean()-X" 0.275007224901961
"43" 13 2 "tBodyAcc-mean()-X" 0.274328499591837
"44" 14 2 "tBodyAcc-mean()-X" 0.279990577037037
"45" 15 2 "tBodyAcc-mean()-X" 0.27290337979661
"46" 16 2 "tBodyAcc-mean()-X" 0.280768574492754
"47" 17 2 "tBodyAcc-mean()-X" 0.2773570196875
"48" 18 2 "tBodyAcc-mean()-X" 0.27727001877193
